ax,ay,az,gx,gy,gz
44,53,2066,4,4,1
42,51,2063,3,5,2
49,53,2065,4,4,1
44,53,2064,3,4,0
43,50,2068,4,3,0
46,52,2068,2,2,1
51,53,2063,3,2,0
48,53,2072,3,4,1
49,52,2064,3,5,1
46,50,2066,2,4,1
44,54,2064,3,4,1
46,54,2067,3,4,0
46,53,2063,2,4,0
38,54,2066,3,4,1
39,54,2066,4,4,2
46,55,2065,3,5,1
49,49,2070,2,4,2
36,52,2070,2,5,1
44,53,2063,1,4,2
44,49,2064,3,5,1
44,53,2059,3,4,0
50,54,2064,4,4,0
46,51,2064,3,3,0
39,58,2069,3,3,0
42,54,2070,3,4,0
42,54,2069,4,4,2
43,51,2067,4,4,2
44,51,2066,3,4,0
43,54,2070,2,4,2
45,53,2066,3,5,1
43,51,2064,4,4,1
40,53,2065,3,4,0
44,52,2069,3,4,0
44,52,2065,4,5,1
46,51,2065,2,4,1
45,52,2067,2,4,1
46,49,2069,2,4,1
44,48,2073,2,4,0
40,53,2069,2,4,0
43,56,2063,2,4,1
48,56,2065,5,4,0
43,53,2069,3,4,1
46,52,2067,3,3,1
45,52,2065,3,3,1
42,52,2065,2,4,1
46,51,2067,2,5,2
46,50,2068,3,4,1
48,51,2066,3,4,0
52,52,2062,3,5,0
43,55,2064,3,4,2
41,50,2072,4,4,2
45,49,2068,4,6,2
49,51,2072,3,4,1
45,49,2068,2,4,2
40,56,2067,2,3,1
47,52,2064,3,4,1
44,51,2062,3,4,1
45,54,2070,3,3,1
47,57,2070,1,4,0
41,51,2067,3,4,1
43,52,2062,4,3,2
40,54,2061,1,4,1
38,53,2070,2,4,1
43,52,2072,3,6,0
51,53,2065,3,5,1
45,50,2065,3,4,1
44,54,2064,4,4,0
44,53,2068,3,4,0
44,50,2065,4,3,1
50,53,2067,4,4,1
45,51,2064,4,4,1
47,53,2066,3,4,0
48,54,2069,3,4,2
44,52,2060,3,4,1
45,52,2066,5,5,1
40,53,2067,5,5,1
48,53,2064,3,5,1
42,53,2065,2,4,1
46,53,2066,3,4,1
43,53,2062,5,5,1
47,53,2068,3,4,1
41,53,2066,2,5,2
45,46,2069,4,4,1
48,51,2072,3,4,0
46,52,2068,4,3,1
44,49,2066,4,3,2
44,51,2066,4,3,1
46,52,2065,2,4,0
45,52,2065,2,4,-1
40,50,2068,4,6,0
46,52,2063,3,5,1
49,51,2066,3,4,1
39,58,2070,4,4,1
43,50,2066,3,5,1
40,53,2064,3,5,1
46,54,2062,3,4,0
49,57,2065,3,4,2
42,51,2064,2,4,0
41,50,2068,3,3,0
49,53,2071,2,5,1
41,51,2067,3,5,1
47,48,2061,5,4,0
51,48,2064,4,5,1
43,49,2065,4,5,1
40,53,2066,4,5,1
43,52,2071,3,4,1
43,53,2065,2,3,1
43,49,2064,4,5,1
41,51,2063,3,5,0
43,54,2067,3,4,0
45,51,2066,3,4,0
46,48,2064,3,4,0
45,53,2059,2,5,1
43,52,2065,2,4,1
42,54,2064,3,4,1
45,54,2073,3,5,1
46,56,2063,3,5,1
42,55,2063,2,2,2
48,49,2066,3,3,1
47,50,2068,3,5,-1
42,54,2069,4,4,0
49,54,2065,4,4,1
43,54,2060,3,3,0
40,51,2066,4,5,0
50,52,2065,5,4,1
45,55,2065,2,4,0
46,52,2065,2,5,0
43,50,2067,4,5,1
45,54,2066,5,4,-1
40,56,2064,4,4,0
43,49,2069,3,4,1
43,51,2064,3,4,0
47,52,2065,4,4,0
47,53,2068,4,4,1
47,51,2069,2,4,0
46,51,2065,4,4,1
47,55,2060,3,5,2
40,53,2062,2,5,1
45,50,2062,3,4,1
46,54,2061,4,3,0
43,53,2063,3,4,1
47,53,2058,3,5,1
48,52,2065,2,4,2
44,54,2067,3,4,1
45,51,2063,3,5,1
44,52,2066,3,5,0
46,51,2065,4,4,2
48,53,2064,5,4,1
47,49,2064,3,5,0
48,53,2068,2,5,0
41,51,2067,2,5,1
44,51,2069,4,5,1
46,55,2066,4,4,2
44,53,2067,3,5,2
45,51,2067,3,6,1
45,53,2062,3,4,0
46,50,2065,2,4,0
42,53,2068,2,4,2
43,52,2063,3,3,0
46,49,2066,3,4,1
44,51,2060,3,4,2
41,56,2063,2,3,1
42,54,2063,3,4,1
47,54,2063,2,3,2
46,55,2065,3,3,1
46,48,2065,3,3,0
40,56,2063,3,5,-1
48,55,2068,4,5,1
44,56,2068,4,2,1
44,54,2068,4,5,1
43,53,2067,4,5,0
45,55,2062,2,4,-1
41,53,2064,3,5,0
43,52,2065,2,5,1
49,50,2063,2,4,1
49,52,2062,4,4,1
41,54,2064,4,3,1
47,51,2066,3,4,0
45,49,2070,3,5,2
42,50,2066,2,5,1
43,54,2066,2,4,0
44,51,2064,2,4,0
47,53,2061,3,5,2
47,55,2064,3,4,2
46,51,2061,3,4,1
48,53,2058,2,4,1
49,53,2061,3,4,0
46,55,2063,3,4,2
41,51,2067,4,5,1
43,47,2068,2,4,1
45,53,2065,4,4,0
50,51,2063,3,6,0
45,52,2068,3,5,1
49,51,2068,4,3,1
39,51,2065,4,4,1
44,52,2063,5,4,1
42,54,2063,4,4,0
42,56,2066,3,4,1
43,49,2070,2,4,0
46,51,2067,2,3,-1
45,54,2071,3,4,0
42,55,2066,2,5,0
43,53,2063,2,4,1
47,54,2066,3,4,1
42,52,2067,3,3,1
45,49,2069,3,4,2
42,56,2063,4,4,2
46,56,2068,3,4,1
43,53,2066,2,5,0
44,55,2065,4,4,1
49,56,2067,4,4,1
47,54,2066,3,4,1
43,52,2063,3,4,1
48,51,2067,2,3,1
49,52,2065,4,3,1
47,52,2062,4,4,1
43,53,2066,4,5,2
43,52,2064,3,4,2
48,54,2061,4,4,2
44,52,2064,5,4,1
43,49,2063,4,3,0
42,51,2064,1,4,0
44,54,2059,2,4,2
44,55,2062,2,4,1
42,55,2067,4,4,1
45,55,2063,3,4,1
43,54,2065,4,4,2
44,49,2065,4,3,0
45,52,2062,2,3,0
46,54,2066,1,4,1
45,52,2068,3,4,1
43,49,2068,3,4,1
49,53,2064,3,4,-1
43,52,2063,3,4,-1
49,53,2065,3,4,1
44,53,2063,3,4,2
45,53,2067,2,4,0
44,51,2065,3,5,0
42,55,2062,4,3,0
48,51,2069,2,4,1
47,55,2068,3,4,1
45,52,2062,4,4,0
46,52,2069,3,4,1
46,53,2063,3,4,2
41,54,2055,3,4,1
47,52,2066,4,4,0
47,54,2070,3,5,2
46,53,2065,3,4,1
45,52,2066,4,4,0
44,55,2067,4,5,1
46,56,2068,2,3,2
44,53,2064,3,4,0
48,51,2064,2,4,0
43,56,2063,4,3,0
46,55,2068,3,5,-1
46,50,2061,4,4,0
45,50,2067,4,4,0
47,54,2070,3,4,1
43,54,2066,3,5,1
43,53,2060,3,4,0
54,56,2069,2,4,0
47,55,2070,3,3,1
44,54,2059,3,4,2
41,53,2064,2,5,1
41,53,2062,2,5,1
47,51,2060,3,4,2
44,52,2063,2,5,1
43,54,2064,2,5,0
47,55,2064,3,4,0
44,55,2068,3,4,1
49,54,2066,1,5,1
42,48,2058,3,4,1
46,50,2066,4,4,2
49,51,2065,4,4,1
42,54,2063,3,3,1
47,54,2063,2,4,-1
48,54,2064,4,4,1
42,55,2064,4,3,1
40,51,2067,3,3,0
45,52,2059,3,2,0
43,51,2066,4,4,1
48,52,2063,3,5,1
50,53,2061,4,5,-1
44,49,2065,5,5,0
43,52,2067,4,4,1
41,54,2067,3,4,1
48,55,2065,2,3,0
52,50,2062,1,4,0
43,48,2066,1,4,-1
44,49,2064,3,4,0
42,54,2063,2,4,1
44,52,2068,4,5,2
44,53,2063,3,5,1
42,54,2065,2,5,1
39,54,2065,4,6,0
47,55,2066,3,4,0
46,51,2069,2,4,2
39,51,2061,4,3,1
42,56,2062,3,3,0
47,51,2062,2,4,1
44,48,2064,2,4,0
45,55,2063,2,4,0
47,52,2068,3,3,0
39,54,2066,3,4,0
40,52,2064,2,4,1
49,51,2064,3,4,1
47,58,2069,2,4,1
43,54,2066,3,4,1
37,52,2066,2,4,1
42,50,2061,2,4,1
45,52,2060,3,2,0
48,53,2063,2,4,1
47,51,2070,3,4,0
43,48,2065,2,4,-1
47,51,2066,4,4,1
47,55,2062,4,3,1
48,53,2064,2,5,0
51,53,2065,3,5,0
38,55,2063,4,5,1
47,52,2061,3,5,0
46,52,2058,4,4,0
44,52,2061,6,4,1
48,53,2065,4,4,0
53,53,2060,4,5,1
46,54,2063,4,5,2
47,52,2068,3,4,0
50,51,2058,3,4,0
39,50,2067,3,4,1
47,51,2068,4,5,1
43,53,2070,5,5,0
44,56,2071,2,5,0
49,50,2066,4,5,-1
48,54,2067,3,4,1
46,54,2066,4,3,1
44,53,2063,4,3,1
47,48,2065,4,4,1
44,53,2064,3,4,0
41,56,2067,1,4,1
46,55,2065,3,4,1
45,52,2063,4,4,1
43,55,2066,4,4,1
47,56,2065,4,5,1
42,55,2061,4,4,0
42,53,2065,3,4,1
42,53,2068,2,5,1
46,54,2064,3,5,1
41,49,2066,3,5,1
46,50,2066,3,4,0
44,52,2068,4,5,1
47,55,2063,3,4,1
48,55,2063,3,5,1
47,54,2062,2,3,1
48,51,2064,2,4,0
47,56,2064,2,6,0
43,54,2064,3,5,0
47,52,2063,3,4,1
48,53,2064,3,4,0
38,54,2059,3,5,0
47,50,2058,4,4,1
47,53,2065,3,5,1
47,52,2063,2,3,0
47,53,2067,1,4,0
50,53,2064,2,5,0
48,52,2063,3,3,1
47,52,2066,3,4,0
41,54,2066,3,3,2
43,51,2069,4,5,2
